STATISTIC,STATISTIC Label,TLIST(A1),Year,C02064V02491,Product,UNIT,VALUE
AKA03,Production of Dairy Products,1992,1992,3,Cheese,000 Tonnes,93.5
AKA03,Production of Dairy Products,1992,1992,4,Butter,000 Tonnes,115.7
AKA03,Production of Dairy Products,1992,1992,21,Skimmed Milk Powder,000 Tonnes,97
AKA03,Production of Dairy Products,1993,1993,3,Cheese,000 Tonnes,92.7
AKA03,Production of Dairy Products,1993,1993,4,Butter,000 Tonnes,111.7
AKA03,Production of Dairy Products,1993,1993,21,Skimmed Milk Powder,000 Tonnes,102.5
AKA03,Production of Dairy Products,1994,1994,3,Cheese,000 Tonnes,92.7
AKA03,Production of Dairy Products,1994,1994,4,Butter,000 Tonnes,126.9
AKA03,Production of Dairy Products,1994,1994,21,Skimmed Milk Powder,000 Tonnes,129.3
AKA03,Production of Dairy Products,1995,1995,3,Cheese,000 Tonnes,79.9
AKA03,Production of Dairy Products,1995,1995,4,Butter,000 Tonnes,142.3
AKA03,Production of Dairy Products,1995,1995,21,Skimmed Milk Powder,000 Tonnes,114.8
AKA03,Production of Dairy Products,1996,1996,3,Cheese,000 Tonnes,97
AKA03,Production of Dairy Products,1996,1996,4,Butter,000 Tonnes,142
AKA03,Production of Dairy Products,1996,1996,21,Skimmed Milk Powder,000 Tonnes,119
AKA03,Production of Dairy Products,1997,1997,3,Cheese,000 Tonnes,96.7
AKA03,Production of Dairy Products,1997,1997,4,Butter,000 Tonnes,138.6
AKA03,Production of Dairy Products,1997,1997,21,Skimmed Milk Powder,000 Tonnes,101.6
AKA03,Production of Dairy Products,1998,1998,3,Cheese,000 Tonnes,94.7
AKA03,Production of Dairy Products,1998,1998,4,Butter,000 Tonnes,131.1
AKA03,Production of Dairy Products,1998,1998,21,Skimmed Milk Powder,000 Tonnes,90.9
AKA03,Production of Dairy Products,1999,1999,3,Cheese,000 Tonnes,101.8
AKA03,Production of Dairy Products,1999,1999,4,Butter,000 Tonnes,135.3
AKA03,Production of Dairy Products,1999,1999,21,Skimmed Milk Powder,000 Tonnes,84.4
AKA03,Production of Dairy Products,2000,2000,3,Cheese,000 Tonnes,98.5
AKA03,Production of Dairy Products,2000,2000,4,Butter,000 Tonnes,135.4
AKA03,Production of Dairy Products,2000,2000,21,Skimmed Milk Powder,000 Tonnes,78.8
AKA03,Production of Dairy Products,2001,2001,3,Cheese,000 Tonnes,122.8
AKA03,Production of Dairy Products,2001,2001,4,Butter,000 Tonnes,129.3
AKA03,Production of Dairy Products,2001,2001,21,Skimmed Milk Powder,000 Tonnes,86.3
AKA03,Production of Dairy Products,2002,2002,3,Cheese,000 Tonnes,115.9
AKA03,Production of Dairy Products,2002,2002,4,Butter,000 Tonnes,135.2
AKA03,Production of Dairy Products,2002,2002,21,Skimmed Milk Powder,000 Tonnes,97.2
AKA03,Production of Dairy Products,2003,2003,3,Cheese,000 Tonnes,112
AKA03,Production of Dairy Products,2003,2003,4,Butter,000 Tonnes,140.1
AKA03,Production of Dairy Products,2003,2003,21,Skimmed Milk Powder,000 Tonnes,78.4
AKA03,Production of Dairy Products,2004,2004,3,Cheese,000 Tonnes,118
AKA03,Production of Dairy Products,2004,2004,4,Butter,000 Tonnes,136.9
AKA03,Production of Dairy Products,2004,2004,21,Skimmed Milk Powder,000 Tonnes,65.9
AKA03,Production of Dairy Products,2005,2005,3,Cheese,000 Tonnes,118.8
AKA03,Production of Dairy Products,2005,2005,4,Butter,000 Tonnes,143
AKA03,Production of Dairy Products,2005,2005,21,Skimmed Milk Powder,000 Tonnes,
AKA03,Production of Dairy Products,2006,2006,3,Cheese,000 Tonnes,136.9
AKA03,Production of Dairy Products,2006,2006,4,Butter,000 Tonnes,139.1
AKA03,Production of Dairy Products,2006,2006,21,Skimmed Milk Powder,000 Tonnes,68.5
AKA03,Production of Dairy Products,2007,2007,3,Cheese,000 Tonnes,140.4
AKA03,Production of Dairy Products,2007,2007,4,Butter,000 Tonnes,141.4
AKA03,Production of Dairy Products,2007,2007,21,Skimmed Milk Powder,000 Tonnes,82.6
AKA03,Production of Dairy Products,2008,2008,3,Cheese,000 Tonnes,174.5
AKA03,Production of Dairy Products,2008,2008,4,Butter,000 Tonnes,123.8
AKA03,Production of Dairy Products,2008,2008,21,Skimmed Milk Powder,000 Tonnes,55
AKA03,Production of Dairy Products,2009,2009,3,Cheese,000 Tonnes,162.6
AKA03,Production of Dairy Products,2009,2009,4,Butter,000 Tonnes,120.34
AKA03,Production of Dairy Products,2009,2009,21,Skimmed Milk Powder,000 Tonnes,74.7
AKA03,Production of Dairy Products,2010,2010,3,Cheese,000 Tonnes,171.8
AKA03,Production of Dairy Products,2010,2010,4,Butter,000 Tonnes,135.12
AKA03,Production of Dairy Products,2010,2010,21,Skimmed Milk Powder,000 Tonnes,60.3
AKA03,Production of Dairy Products,2011,2011,3,Cheese,000 Tonnes,179.9
AKA03,Production of Dairy Products,2011,2011,4,Butter,000 Tonnes,145.92
AKA03,Production of Dairy Products,2011,2011,21,Skimmed Milk Powder,000 Tonnes,66.5
AKA03,Production of Dairy Products,2012,2012,3,Cheese,000 Tonnes,185.5
AKA03,Production of Dairy Products,2012,2012,4,Butter,000 Tonnes,145
AKA03,Production of Dairy Products,2012,2012,21,Skimmed Milk Powder,000 Tonnes,52.3
AKA03,Production of Dairy Products,2013,2013,3,Cheese,000 Tonnes,182.8
AKA03,Production of Dairy Products,2013,2013,4,Butter,000 Tonnes,152.1
AKA03,Production of Dairy Products,2013,2013,21,Skimmed Milk Powder,000 Tonnes,49.5
AKA03,Production of Dairy Products,2014,2014,3,Cheese,000 Tonnes,188.4
AKA03,Production of Dairy Products,2014,2014,4,Butter,000 Tonnes,166.4
AKA03,Production of Dairy Products,2014,2014,21,Skimmed Milk Powder,000 Tonnes,70.6
AKA03,Production of Dairy Products,2015,2015,3,Cheese,000 Tonnes,207.1
AKA03,Production of Dairy Products,2015,2015,4,Butter,000 Tonnes,187.5
AKA03,Production of Dairy Products,2015,2015,21,Skimmed Milk Powder,000 Tonnes,99.1
AKA03,Production of Dairy Products,2016,2016,3,Cheese,000 Tonnes,205
AKA03,Production of Dairy Products,2016,2016,4,Butter,000 Tonnes,198.7
AKA03,Production of Dairy Products,2016,2016,21,Skimmed Milk Powder,000 Tonnes,117.7
AKA03,Production of Dairy Products,2017,2017,3,Cheese,000 Tonnes,259.4
AKA03,Production of Dairy Products,2017,2017,4,Butter,000 Tonnes,223.7
AKA03,Production of Dairy Products,2017,2017,21,Skimmed Milk Powder,000 Tonnes,119.8
AKA03,Production of Dairy Products,2018,2018,3,Cheese,000 Tonnes,269.4
AKA03,Production of Dairy Products,2018,2018,4,Butter,000 Tonnes,237.8
AKA03,Production of Dairy Products,2018,2018,21,Skimmed Milk Powder,000 Tonnes,133.8
AKA03,Production of Dairy Products,2019,2019,3,Cheese,000 Tonnes,278.4
AKA03,Production of Dairy Products,2019,2019,4,Butter,000 Tonnes,250.8
AKA03,Production of Dairy Products,2019,2019,21,Skimmed Milk Powder,000 Tonnes,142.5
AKA03,Production of Dairy Products,2020,2020,3,Cheese,000 Tonnes,285.4
AKA03,Production of Dairy Products,2020,2020,4,Butter,000 Tonnes,264.73
AKA03,Production of Dairy Products,2020,2020,21,Skimmed Milk Powder,000 Tonnes,150.14
AKA03,Production of Dairy Products,2021,2021,3,Cheese,000 Tonnes,287.03
AKA03,Production of Dairy Products,2021,2021,4,Butter,000 Tonnes,275.6
AKA03,Production of Dairy Products,2021,2021,21,Skimmed Milk Powder,000 Tonnes,147.65
